condition,pid,catBoundDist,famInd,trialsComplete,correct,f0,f1
blocked,565c40fbc121fe0005fc3b62,1,2.6666666666666665,74.8,0.7111111111111111,3.5,3.5
blocked,565c40fbc121fe0005fc3b62,2,2.6666666666666665,78.44444444444444,0.8333333333333334,3.5,3.5
blocked,565c40fbc121fe0005fc3b62,3,2.6666666666666665,74.11111111111111,0.9074074074074074,3.5,3.5
blocked,565c40fbc121fe0005fc3b62,4,2.6666666666666665,75.86111111111111,0.9444444444444444,3.5,3.5
blocked,565c40fbc121fe0005fc3b62,5,2.6666666666666665,70.66666666666667,1.0,3.5,3.5
blocked,567bdc76b7d79a0012b2738a,1,2.6666666666666665,76.71111111111111,0.45555555555555555,3.5,3.5
blocked,567bdc76b7d79a0012b2738a,2,2.6666666666666665,74.625,0.5416666666666666,3.5,3.5
blocked,567bdc76b7d79a0012b2738a,3,2.6666666666666665,73.29629629629629,0.6666666666666666,3.5,3.5
blocked,567bdc76b7d79a0012b2738a,4,2.6666666666666665,78.63888888888889,0.6111111111111112,3.5,3.5
blocked,567bdc76b7d79a0012b2738a,5,2.6666666666666665,73.27777777777777,0.6111111111111112,3.5,3.5
blocked,572faa2cad131600100169b5,1,2.6666666666666665,75.72222222222223,0.6444444444444445,3.5,3.5
blocked,572faa2cad131600100169b5,2,2.6666666666666665,74.34722222222223,0.7916666666666666,3.5,3.5
blocked,572faa2cad131600100169b5,3,2.6666666666666665,78.07407407407408,0.8888888888888888,3.5,3.5
blocked,572faa2cad131600100169b5,4,2.6666666666666665,75.05555555555556,0.9444444444444444,3.5,3.5
blocked,572faa2cad131600100169b5,5,2.6666666666666665,72.16666666666667,1.0,3.5,3.5
blocked,5745a5ab5e549100063b1193,1,2.6666666666666665,77.14444444444445,0.5777777777777777,3.5,3.5
blocked,5745a5ab5e549100063b1193,2,2.6666666666666665,74.84722222222223,0.6666666666666666,3.5,3.5
blocked,5745a5ab5e549100063b1193,3,2.6666666666666665,75.18518518518519,0.8703703703703703,3.5,3.5
blocked,5745a5ab5e549100063b1193,4,2.6666666666666665,77.41666666666667,0.9444444444444444,3.5,3.5
blocked,5745a5ab5e549100063b1193,5,2.6666666666666665,67.0,0.8888888888888888,3.5,3.5
blocked,588e7fc25726cc00011d72ce,1,2.6666666666666665,74.91111111111111,0.6222222222222222,3.5,3.5
blocked,588e7fc25726cc00011d72ce,2,2.6666666666666665,76.88888888888889,0.875,3.5,3.5
blocked,588e7fc25726cc00011d72ce,3,2.6666666666666665,75.38888888888889,0.9074074074074074,3.5,3.5
blocked,588e7fc25726cc00011d72ce,4,2.6666666666666665,78.27777777777777,1.0,3.5,3.5
blocked,588e7fc25726cc00011d72ce,5,2.6666666666666665,67.66666666666667,1.0,3.5,3.5
blocked,597b38ed09bdcf000153fcac,1,2.6666666666666665,74.35555555555555,0.6777777777777778,3.5,3.5
blocked,597b38ed09bdcf000153fcac,2,2.6666666666666665,77.19444444444444,0.8888888888888888,3.5,3.5
blocked,597b38ed09bdcf000153fcac,3,2.6666666666666665,76.79629629629629,0.8888888888888888,3.5,3.5
blocked,597b38ed09bdcf000153fcac,4,2.6666666666666665,72.75,0.8055555555555556,3.5,3.5
blocked,597b38ed09bdcf000153fcac,5,2.6666666666666665,76.05555555555556,0.9444444444444444,3.5,3.5
blocked,59e39cc9c0d35a0001294f20,1,2.6666666666666665,75.61111111111111,0.6111111111111112,3.5,3.5
blocked,59e39cc9c0d35a0001294f20,2,2.6666666666666665,76.11111111111111,0.7361111111111112,3.5,3.5
blocked,59e39cc9c0d35a0001294f20,3,2.6666666666666665,72.0925925925926,0.8703703703703703,3.5,3.5
blocked,59e39cc9c0d35a0001294f20,4,2.6666666666666665,74.58333333333333,0.8888888888888888,3.5,3.5
blocked,59e39cc9c0d35a0001294f20,5,2.6666666666666665,84.55555555555556,0.9444444444444444,3.5,3.5
blocked,5a0323d1c259f30001765337,1,2.6666666666666665,75.72222222222223,0.5555555555555556,3.5,3.5
blocked,5a0323d1c259f30001765337,2,2.6666666666666665,75.91666666666667,0.6944444444444444,3.5,3.5
blocked,5a0323d1c259f30001765337,3,2.6666666666666665,76.22222222222223,0.7407407407407407,3.5,3.5
blocked,5a0323d1c259f30001765337,4,2.6666666666666665,73.86111111111111,0.8055555555555556,3.5,3.5
blocked,5a0323d1c259f30001765337,5,2.6666666666666665,73.83333333333333,0.7222222222222222,3.5,3.5
blocked,5a6759ad35f26b0001496694,1,2.6666666666666665,78.03333333333333,0.6555555555555556,3.5,3.5
blocked,5a6759ad35f26b0001496694,2,2.6666666666666665,73.68055555555556,0.8472222222222222,3.5,3.5
blocked,5a6759ad35f26b0001496694,3,2.6666666666666665,75.79629629629629,0.9259259259259259,3.5,3.5
blocked,5a6759ad35f26b0001496694,4,2.6666666666666665,72.25,0.8888888888888888,3.5,3.5
blocked,5a6759ad35f26b0001496694,5,2.6666666666666665,75.72222222222223,0.8888888888888888,3.5,3.5
blocked,5ab41678e1546900019b4b15,1,2.6666666666666665,76.95555555555555,0.6444444444444445,3.5,3.5
blocked,5ab41678e1546900019b4b15,2,2.6666666666666665,77.27777777777777,0.7638888888888888,3.5,3.5
blocked,5ab41678e1546900019b4b15,3,2.6666666666666665,75.18518518518519,0.8518518518518519,3.5,3.5
blocked,5ab41678e1546900019b4b15,4,2.6666666666666665,69.22222222222223,0.9444444444444444,3.5,3.5
blocked,5ab41678e1546900019b4b15,5,2.6666666666666665,74.61111111111111,0.9444444444444444,3.5,3.5
blocked,5b2150d538b0be00014137fb,1,2.6666666666666665,77.85555555555555,0.5888888888888889,3.5,3.5
blocked,5b2150d538b0be00014137fb,2,2.6666666666666665,76.76388888888889,0.7222222222222222,3.5,3.5
blocked,5b2150d538b0be00014137fb,3,2.6666666666666665,74.11111111111111,0.8703703703703703,3.5,3.5
blocked,5b2150d538b0be00014137fb,4,2.6666666666666665,73.16666666666667,0.9166666666666666,3.5,3.5
blocked,5b2150d538b0be00014137fb,5,2.6666666666666665,67.5,0.9444444444444444,3.5,3.5
blocked,5bd948d7544d4f000141e81f,1,2.6666666666666665,76.92222222222222,0.4444444444444444,3.5,3.5
blocked,5bd948d7544d4f000141e81f,2,2.6666666666666665,75.72222222222223,0.5972222222222222,3.5,3.5
blocked,5bd948d7544d4f000141e81f,3,2.6666666666666665,74.77777777777777,0.5370370370370371,3.5,3.5
blocked,5bd948d7544d4f000141e81f,4,2.6666666666666665,72.11111111111111,0.6666666666666666,3.5,3.5
blocked,5bd948d7544d4f000141e81f,5,2.6666666666666665,76.44444444444444,0.6111111111111112,3.5,3.5
blocked,5c28d5a5664ccc000127bec8,1,2.6666666666666665,76.24444444444444,0.5777777777777777,3.5,3.5
blocked,5c28d5a5664ccc000127bec8,2,2.6666666666666665,77.81944444444444,0.6527777777777778,3.5,3.5
blocked,5c28d5a5664ccc000127bec8,3,2.6666666666666665,73.66666666666667,0.6481481481481481,3.5,3.5
