condition,pid,catBoundDist,famInd,trialsComplete,correct,f0,f1
blocked,565c40fbc121fe0005fc3b62,1,2.6705882352941175,76.62352941176471,0.7294117647058823,3.4823529411764707,3.5294117647058822
blocked,565c40fbc121fe0005fc3b62,2,2.642857142857143,76.01428571428572,0.8428571428571429,3.5285714285714285,3.4714285714285715
blocked,565c40fbc121fe0005fc3b62,3,2.6666666666666665,79.66666666666667,0.8823529411764706,3.4705882352941178,3.588235294117647
blocked,565c40fbc121fe0005fc3b62,4,2.6285714285714286,74.88571428571429,0.9714285714285714,3.5714285714285716,3.5428571428571427
blocked,565c40fbc121fe0005fc3b62,5,2.764705882352941,77.52941176470588,1.0,3.6470588235294117,3.6470588235294117
blocked,567bdc76b7d79a0012b2738a,1,2.6470588235294117,78.94117647058823,0.4470588235294118,3.5176470588235293,3.4941176470588236
blocked,567bdc76b7d79a0012b2738a,2,2.676470588235294,75.36764705882354,0.5882352941176471,3.5,3.5
blocked,567bdc76b7d79a0012b2738a,3,2.7254901960784315,76.2156862745098,0.5882352941176471,3.588235294117647,3.588235294117647
blocked,567bdc76b7d79a0012b2738a,4,2.7058823529411766,80.32352941176471,0.5882352941176471,3.5,3.5
blocked,567bdc76b7d79a0012b2738a,5,2.6666666666666665,79.44444444444444,0.5,3.5,3.5
blocked,572faa2cad131600100169b5,1,2.6666666666666665,76.45238095238095,0.6666666666666666,3.5595238095238093,3.488095238095238
blocked,572faa2cad131600100169b5,2,2.646153846153846,78.93846153846154,0.7692307692307693,3.4461538461538463,3.4615384615384617
blocked,572faa2cad131600100169b5,3,2.6923076923076925,79.71153846153847,0.8846153846153846,3.480769230769231,3.4038461538461537
blocked,572faa2cad131600100169b5,4,2.7142857142857144,75.97142857142858,0.9714285714285714,3.5714285714285716,3.5428571428571427
blocked,572faa2cad131600100169b5,5,2.6470588235294117,76.47058823529412,1.0,3.3529411764705883,3.3529411764705883
blocked,5745a5ab5e549100063b1193,1,2.6666666666666665,76.0,0.6071428571428571,3.4523809523809526,3.5714285714285716
blocked,5745a5ab5e549100063b1193,2,2.63768115942029,75.94202898550725,0.6666666666666666,3.5072463768115942,3.463768115942029
blocked,5745a5ab5e549100063b1193,3,2.6666666666666665,79.07407407407408,0.8703703703703703,3.5,3.5
blocked,5745a5ab5e549100063b1193,4,2.6176470588235294,77.44117647058823,1.0,3.6176470588235294,3.6176470588235294
blocked,5745a5ab5e549100063b1193,5,2.8666666666666667,77.86666666666666,0.8666666666666667,3.3333333333333335,3.3333333333333335
blocked,588e7fc25726cc00011d72ce,1,2.642857142857143,79.04761904761905,0.6071428571428571,3.4761904761904763,3.5
blocked,588e7fc25726cc00011d72ce,2,2.712121212121212,75.78787878787878,0.9090909090909091,3.4696969696969697,3.409090909090909
blocked,588e7fc25726cc00011d72ce,3,2.673076923076923,77.90384615384616,0.9038461538461539,3.519230769230769,3.480769230769231
blocked,588e7fc25726cc00011d72ce,4,2.676470588235294,78.20588235294117,1.0,3.5294117647058822,3.4705882352941178
blocked,588e7fc25726cc00011d72ce,5,2.6666666666666665,72.38888888888889,1.0,3.5,3.5
blocked,597b38ed09bdcf000153fcac,1,2.7011494252873565,75.183908045977,0.6551724137931034,3.5517241379310347,3.4827586206896552
blocked,597b38ed09bdcf000153fcac,2,2.671875,79.46875,0.890625,3.515625,3.546875
blocked,597b38ed09bdcf000153fcac,3,2.6538461538461537,74.0,0.8846153846153846,3.423076923076923,3.4615384615384617
blocked,597b38ed09bdcf000153fcac,4,2.5757575757575757,82.75757575757575,0.7878787878787878,3.393939393939394,3.484848484848485
blocked,597b38ed09bdcf000153fcac,5,2.764705882352941,73.94117647058823,0.9411764705882353,3.6470588235294117,3.6470588235294117
blocked,59e39cc9c0d35a0001294f20,1,2.627906976744186,76.22093023255815,0.6162790697674418,3.511627906976744,3.4651162790697674
blocked,59e39cc9c0d35a0001294f20,2,2.6470588235294117,76.27941176470588,0.7058823529411765,3.485294117647059,3.514705882352941
