Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6400893985ef8df050d26977,5d442ba693066e00185a44d6,AWAITING REVIEW,2023-03-02T11:32:20.216000Z,2023-03-02T12:11:27.261000Z,,2023-03-02T12:11:27.667203Z,2348,C15BMR3K,332,English,29,Male,DATA_EXPIRED,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6400893b982c44ce0b0d1501,5a6759ad35f26b0001496694,AWAITING REVIEW,2023-03-02T11:34:28.660000Z,2023-03-02T12:21:23.084000Z,,2023-03-02T12:21:24.170616Z,2815,C15BMR3K,842,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64008c4e34a30942850e7fd3,63cffe20bc797448bbef3633,AWAITING REVIEW,2023-03-02T11:47:04.610000Z,2023-03-02T12:59:38.186000Z,,2023-03-02T12:59:38.632110Z,4354,C15BMR3K,43,English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
64008cd9a7f1a045cc44b7db,5eeb6965645c11097b4bae82,AWAITING REVIEW,2023-03-02T11:47:42.850000Z,2023-03-02T12:35:29.876000Z,,2023-03-02T12:35:30.286260Z,2868,C15BMR3K,563,English,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
640092d4ac669a160f212014,63e51d31a345fde2cafda252,AWAITING REVIEW,2023-03-02T12:13:08.320000Z,2023-03-02T12:37:42.662000Z,,2023-03-02T12:37:43.072531Z,1475,C15BMR3K,22,English,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6400932a58043243efd6af6d,63cfeeae707bca4ddee3eb11,AWAITING REVIEW,2023-03-02T12:14:37.172000Z,2023-03-02T12:48:52.183000Z,,2023-03-02T12:48:52.627480Z,2056,C15BMR3K,82,English,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
640094d84c5774d935b49ce9,605de3af48d7a575adb95b09,AWAITING REVIEW,2023-03-02T12:24:25.706000Z,2023-03-02T13:17:55.255000Z,,2023-03-02T13:17:55.678933Z,3210,C15BMR3K,810,English,23,Male,Asian,India,South Africa,India,English,No,Full-Time
64009b61e01e5cae57b49d5f,60f6f802c0ede08f7cf69720,AWAITING REVIEW,2023-03-02T12:49:53.974000Z,2023-03-02T13:30:46.138000Z,,2023-03-02T13:30:46.592224Z,2453,C15BMR3K,471,English,59,Female,White,Ireland,Ireland,Ireland,English,No,Full-Time
64009dceafc770946b0c24bd,5d95dfca33f8930017e85486,AWAITING REVIEW,2023-03-02T13:00:04.191000Z,2023-03-02T13:49:11.497000Z,,2023-03-02T13:49:12.820105Z,2948,C15BMR3K,933,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
64009dcf2e6fedaa12bc9d06,63ea4a7fa7d709c8e7887a93,AWAITING REVIEW,2023-03-02T13:00:56.565000Z,2023-03-02T13:38:24.510000Z,,2023-03-02T13:38:24.907543Z,2248,C15BMR3K,41,English,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
64009fbfed3cb2bc9924fe0a,62714a240ed387f760f6741b,AWAITING REVIEW,2023-03-02T13:10:01.555000Z,2023-03-02T14:08:50.530000Z,,2023-03-02T14:08:51.178017Z,3529,C15BMR3K,692,English,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
6400a11df36790aea183c7fb,5cc7443b836ddc0016fec706,AWAITING REVIEW,2023-03-02T13:14:05.860000Z,2023-03-02T13:51:16.690000Z,,2023-03-02T13:51:33.336116Z,2231,C15BMR3K,2221,English,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6400a12e913c68f8e58b53f1,59e39cc9c0d35a0001294f20,AWAITING REVIEW,2023-03-02T13:14:23.955000Z,2023-03-02T13:58:03.213000Z,,2023-03-02T13:58:08.551935Z,2620,C15BMR3K,2391,English,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6400a33f5fd089c87fb027a0,628f7669ee68aabf3930123b,AWAITING REVIEW,2023-03-02T13:23:15.922000Z,2023-03-02T14:08:36.929000Z,,2023-03-02T14:08:37.738560Z,2722,C15BMR3K,642,English,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6400a33ff028375374bdf3d7,63b3071eb51f26037ce0bfb1,AWAITING REVIEW,2023-03-02T13:23:19.435000Z,2023-03-02T13:57:22.266000Z,,2023-03-02T13:57:22.789973Z,2043,C15BMR3K,35,English,49,Male,White,United Kingdom,United Kingdom,Ireland,English,Yes,Part-Time
6400a340843316ef6bfaad5f,63e51c2e943e72306dfa8cdc,AWAITING REVIEW,2023-03-02T13:23:15.259000Z,2023-03-02T13:53:18.004000Z,,2023-03-02T13:53:21.444034Z,1803,C15BMR3K,40,"English, French",23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
