rule,pid,condition,famInd,trialsComplete
fi,565c40fbc121fe0005fc3b62,blocked,3,114
fi,565c40fbc121fe0005fc3b62,blocked,3,115
fi,565c40fbc121fe0005fc3b62,blocked,3,116
fi,565c40fbc121fe0005fc3b62,blocked,3,117
fi,565c40fbc121fe0005fc3b62,blocked,3,118
fi,565c40fbc121fe0005fc3b62,blocked,3,119
fi,565c40fbc121fe0005fc3b62,blocked,3,120
fi,565c40fbc121fe0005fc3b62,blocked,4,121
fi,565c40fbc121fe0005fc3b62,blocked,4,122
fi,565c40fbc121fe0005fc3b62,blocked,4,123
fi,565c40fbc121fe0005fc3b62,blocked,4,124
fi,565c40fbc121fe0005fc3b62,blocked,4,125
fi,565c40fbc121fe0005fc3b62,blocked,4,126
fi,565c40fbc121fe0005fc3b62,blocked,4,127
fi,565c40fbc121fe0005fc3b62,blocked,4,128
fi,565c40fbc121fe0005fc3b62,blocked,4,129
fi,565c40fbc121fe0005fc3b62,blocked,4,130
fi,565c40fbc121fe0005fc3b62,blocked,4,131
fi,565c40fbc121fe0005fc3b62,blocked,4,132
fi,565c40fbc121fe0005fc3b62,blocked,4,133
fi,565c40fbc121fe0005fc3b62,blocked,4,134
fi,565c40fbc121fe0005fc3b62,blocked,4,135
fi,565c40fbc121fe0005fc3b62,blocked,4,136
fi,565c40fbc121fe0005fc3b62,blocked,4,137
fi,565c40fbc121fe0005fc3b62,blocked,4,138
fi,565c40fbc121fe0005fc3b62,blocked,4,139
fi,565c40fbc121fe0005fc3b62,blocked,4,140
fi,565c40fbc121fe0005fc3b62,blocked,4,141
fi,565c40fbc121fe0005fc3b62,blocked,4,142
fi,565c40fbc121fe0005fc3b62,blocked,4,143
fi,565c40fbc121fe0005fc3b62,blocked,4,144
fi,565c40fbc121fe0005fc3b62,blocked,4,145
fi,565c40fbc121fe0005fc3b62,blocked,4,146
fi,565c40fbc121fe0005fc3b62,blocked,4,147
fi,565c40fbc121fe0005fc3b62,blocked,4,148
fi,565c40fbc121fe0005fc3b62,blocked,4,149
fi,565c40fbc121fe0005fc3b62,blocked,4,150
fi,565c40fbc121fe0005fc3b62,blocked,4,151
fi,565c40fbc121fe0005fc3b62,blocked,4,152
fi,565c40fbc121fe0005fc3b62,blocked,4,153
fi,565c40fbc121fe0005fc3b62,blocked,4,154
fi,565c40fbc121fe0005fc3b62,blocked,4,155
fi,565c40fbc121fe0005fc3b62,blocked,4,156
fi,565c40fbc121fe0005fc3b62,blocked,4,157
fi,565c40fbc121fe0005fc3b62,blocked,4,158
fi,565c40fbc121fe0005fc3b62,blocked,4,159
fi,565c40fbc121fe0005fc3b62,blocked,4,160
fi,565c40fbc121fe0005fc3b62,blocked,4,161
fi,565c40fbc121fe0005fc3b62,blocked,4,162
fi,565c40fbc121fe0005fc3b62,blocked,4,163
fi,565c40fbc121fe0005fc3b62,blocked,4,164
fi,565c40fbc121fe0005fc3b62,blocked,4,165
fi,565c40fbc121fe0005fc3b62,blocked,4,166
fi,565c40fbc121fe0005fc3b62,blocked,4,167
fi,565c40fbc121fe0005fc3b62,blocked,4,168
fi,565c40fbc121fe0005fc3b62,blocked,4,169
fi,565c40fbc121fe0005fc3b62,blocked,4,170
fi,565c40fbc121fe0005fc3b62,blocked,4,171
fi,565c40fbc121fe0005fc3b62,blocked,4,172
fi,565c40fbc121fe0005fc3b62,blocked,4,173
fi,565c40fbc121fe0005fc3b62,blocked,4,174
fi,565c40fbc121fe0005fc3b62,blocked,4,175
fi,565c40fbc121fe0005fc3b62,blocked,4,176
fi,565c40fbc121fe0005fc3b62,blocked,4,177
fi,565c40fbc121fe0005fc3b62,blocked,4,178
fi,565c40fbc121fe0005fc3b62,blocked,4,179
fi,565c40fbc121fe0005fc3b62,blocked,4,180
fi,567bdc76b7d79a0012b2738a,blocked,3,1
fi,567bdc76b7d79a0012b2738a,blocked,3,2
fi,567bdc76b7d79a0012b2738a,blocked,3,3
fi,567bdc76b7d79a0012b2738a,blocked,3,4
fi,567bdc76b7d79a0012b2738a,blocked,3,5
fi,567bdc76b7d79a0012b2738a,blocked,3,6
fi,567bdc76b7d79a0012b2738a,blocked,3,7
fi,567bdc76b7d79a0012b2738a,blocked,3,8
fi,567bdc76b7d79a0012b2738a,blocked,3,9
fi,567bdc76b7d79a0012b2738a,blocked,3,10
fi,567bdc76b7d79a0012b2738a,blocked,3,11
fi,567bdc76b7d79a0012b2738a,blocked,3,12
fi,567bdc76b7d79a0012b2738a,blocked,3,13
fi,567bdc76b7d79a0012b2738a,blocked,3,14
fi,567bdc76b7d79a0012b2738a,blocked,3,15
fi,567bdc76b7d79a0012b2738a,blocked,3,16
fi,567bdc76b7d79a0012b2738a,blocked,3,17
fi,567bdc76b7d79a0012b2738a,blocked,3,18
fi,567bdc76b7d79a0012b2738a,blocked,3,19
fi,567bdc76b7d79a0012b2738a,blocked,3,20
fi,567bdc76b7d79a0012b2738a,blocked,3,21
fi,567bdc76b7d79a0012b2738a,blocked,3,22
fi,567bdc76b7d79a0012b2738a,blocked,3,23
fi,567bdc76b7d79a0012b2738a,blocked,3,24
fi,567bdc76b7d79a0012b2738a,blocked,3,25
fi,567bdc76b7d79a0012b2738a,blocked,3,26
fi,567bdc76b7d79a0012b2738a,blocked,3,27
fi,567bdc76b7d79a0012b2738a,blocked,3,28
fi,567bdc76b7d79a0012b2738a,blocked,3,29
fi,567bdc76b7d79a0012b2738a,blocked,3,30
fi,567bdc76b7d79a0012b2738a,blocked,3,31
fi,567bdc76b7d79a0012b2738a,blocked,3,32
fi,567bdc76b7d79a0012b2738a,blocked,3,33
fi,567bdc76b7d79a0012b2738a,blocked,3,34
fi,567bdc76b7d79a0012b2738a,blocked,3,35
fi,567bdc76b7d79a0012b2738a,blocked,3,36
fi,567bdc76b7d79a0012b2738a,blocked,3,37
fi,567bdc76b7d79a0012b2738a,blocked,3,38
fi,567bdc76b7d79a0012b2738a,blocked,3,39
fi,567bdc76b7d79a0012b2738a,blocked,3,40
fi,567bdc76b7d79a0012b2738a,blocked,3,41
fi,567bdc76b7d79a0012b2738a,blocked,3,42
fi,567bdc76b7d79a0012b2738a,blocked,3,43
fi,567bdc76b7d79a0012b2738a,blocked,3,44
fi,567bdc76b7d79a0012b2738a,blocked,3,45
fi,567bdc76b7d79a0012b2738a,blocked,3,46
fi,567bdc76b7d79a0012b2738a,blocked,3,47
fi,567bdc76b7d79a0012b2738a,blocked,3,48
fi,567bdc76b7d79a0012b2738a,blocked,3,49
fi,567bdc76b7d79a0012b2738a,blocked,3,50
fi,567bdc76b7d79a0012b2738a,blocked,3,51
fi,567bdc76b7d79a0012b2738a,blocked,3,52
fi,567bdc76b7d79a0012b2738a,blocked,3,53
fi,567bdc76b7d79a0012b2738a,blocked,3,54
fi,567bdc76b7d79a0012b2738a,blocked,3,55
fi,567bdc76b7d79a0012b2738a,blocked,3,56
fi,567bdc76b7d79a0012b2738a,blocked,3,57
fi,567bdc76b7d79a0012b2738a,blocked,3,58
fi,567bdc76b7d79a0012b2738a,blocked,3,59
fi,567bdc76b7d79a0012b2738a,blocked,3,60
fi,567bdc76b7d79a0012b2738a,blocked,1,61
fi,567bdc76b7d79a0012b2738a,blocked,1,62
fi,567bdc76b7d79a0012b2738a,blocked,1,63
fi,567bdc76b7d79a0012b2738a,blocked,1,64
fi,567bdc76b7d79a0012b2738a,blocked,1,65
fi,567bdc76b7d79a0012b2738a,blocked,1,66
fi,567bdc76b7d79a0012b2738a,blocked,1,67
fi,567bdc76b7d79a0012b2738a,blocked,1,68
fi,567bdc76b7d79a0012b2738a,blocked,1,69
fi,567bdc76b7d79a0012b2738a,blocked,1,70
fi,567bdc76b7d79a0012b2738a,blocked,1,71
fi,567bdc76b7d79a0012b2738a,blocked,1,72
fi,567bdc76b7d79a0012b2738a,blocked,1,73
fi,567bdc76b7d79a0012b2738a,blocked,1,74
fi,567bdc76b7d79a0012b2738a,blocked,1,75
fi,567bdc76b7d79a0012b2738a,blocked,1,76
fi,567bdc76b7d79a0012b2738a,blocked,1,77
fi,567bdc76b7d79a0012b2738a,blocked,1,78
fi,567bdc76b7d79a0012b2738a,blocked,1,79
fi,567bdc76b7d79a0012b2738a,blocked,1,80
fi,567bdc76b7d79a0012b2738a,blocked,1,81
fi,567bdc76b7d79a0012b2738a,blocked,1,82
fi,567bdc76b7d79a0012b2738a,blocked,1,83
fi,567bdc76b7d79a0012b2738a,blocked,1,84
fi,567bdc76b7d79a0012b2738a,blocked,1,85
fi,567bdc76b7d79a0012b2738a,blocked,1,86
fi,567bdc76b7d79a0012b2738a,blocked,1,87
fi,567bdc76b7d79a0012b2738a,blocked,1,88
fi,567bdc76b7d79a0012b2738a,blocked,1,89
fi,567bdc76b7d79a0012b2738a,blocked,1,90
fi,567bdc76b7d79a0012b2738a,blocked,1,91
fi,567bdc76b7d79a0012b2738a,blocked,1,92
fi,567bdc76b7d79a0012b2738a,blocked,1,93
fi,567bdc76b7d79a0012b2738a,blocked,1,94
fi,567bdc76b7d79a0012b2738a,blocked,1,95
fi,567bdc76b7d79a0012b2738a,blocked,1,96
fi,567bdc76b7d79a0012b2738a,blocked,1,97
fi,567bdc76b7d79a0012b2738a,blocked,1,98
fi,567bdc76b7d79a0012b2738a,blocked,1,99
fi,567bdc76b7d79a0012b2738a,blocked,1,100
fi,567bdc76b7d79a0012b2738a,blocked,1,101
fi,567bdc76b7d79a0012b2738a,blocked,1,102
fi,567bdc76b7d79a0012b2738a,blocked,1,103
fi,567bdc76b7d79a0012b2738a,blocked,1,104
fi,567bdc76b7d79a0012b2738a,blocked,1,105
fi,567bdc76b7d79a0012b2738a,blocked,1,106
fi,567bdc76b7d79a0012b2738a,blocked,1,107
fi,567bdc76b7d79a0012b2738a,blocked,1,108
fi,567bdc76b7d79a0012b2738a,blocked,1,109
fi,567bdc76b7d79a0012b2738a,blocked,1,110
fi,567bdc76b7d79a0012b2738a,blocked,1,111
fi,567bdc76b7d79a0012b2738a,blocked,1,112
fi,567bdc76b7d79a0012b2738a,blocked,1,113
fi,567bdc76b7d79a0012b2738a,blocked,1,114
fi,567bdc76b7d79a0012b2738a,blocked,1,115
fi,567bdc76b7d79a0012b2738a,blocked,1,116
fi,567bdc76b7d79a0012b2738a,blocked,1,117
fi,567bdc76b7d79a0012b2738a,blocked,1,118
fi,567bdc76b7d79a0012b2738a,blocked,1,119
fi,567bdc76b7d79a0012b2738a,blocked,1,120
fi,567bdc76b7d79a0012b2738a,blocked,4,121
fi,567bdc76b7d79a0012b2738a,blocked,4,122
fi,567bdc76b7d79a0012b2738a,blocked,4,123
fi,567bdc76b7d79a0012b2738a,blocked,4,124
fi,567bdc76b7d79a0012b2738a,blocked,4,125
fi,567bdc76b7d79a0012b2738a,blocked,4,126
fi,567bdc76b7d79a0012b2738a,blocked,4,127
fi,567bdc76b7d79a0012b2738a,blocked,4,128
fi,567bdc76b7d79a0012b2738a,blocked,4,129
fi,567bdc76b7d79a0012b2738a,blocked,4,130
fi,567bdc76b7d79a0012b2738a,blocked,4,131
fi,567bdc76b7d79a0012b2738a,blocked,4,132
fi,567bdc76b7d79a0012b2738a,blocked,4,133
fi,567bdc76b7d79a0012b2738a,blocked,4,134
fi,567bdc76b7d79a0012b2738a,blocked,4,135
fi,567bdc76b7d79a0012b2738a,blocked,4,136
fi,567bdc76b7d79a0012b2738a,blocked,4,137
fi,567bdc76b7d79a0012b2738a,blocked,4,138
fi,567bdc76b7d79a0012b2738a,blocked,4,139
fi,567bdc76b7d79a0012b2738a,blocked,4,140
fi,567bdc76b7d79a0012b2738a,blocked,4,141
fi,567bdc76b7d79a0012b2738a,blocked,4,142
fi,567bdc76b7d79a0012b2738a,blocked,4,143
fi,567bdc76b7d79a0012b2738a,blocked,4,144
fi,567bdc76b7d79a0012b2738a,blocked,4,145
fi,567bdc76b7d79a0012b2738a,blocked,4,146
fi,567bdc76b7d79a0012b2738a,blocked,4,147
fi,567bdc76b7d79a0012b2738a,blocked,4,148
fi,567bdc76b7d79a0012b2738a,blocked,4,149
fi,567bdc76b7d79a0012b2738a,blocked,4,150
fi,567bdc76b7d79a0012b2738a,blocked,4,151
fi,567bdc76b7d79a0012b2738a,blocked,4,152
fi,567bdc76b7d79a0012b2738a,blocked,4,153
fi,567bdc76b7d79a0012b2738a,blocked,4,154
fi,567bdc76b7d79a0012b2738a,blocked,4,155
fi,567bdc76b7d79a0012b2738a,blocked,4,156
fi,567bdc76b7d79a0012b2738a,blocked,4,157
fi,567bdc76b7d79a0012b2738a,blocked,4,158
fi,567bdc76b7d79a0012b2738a,blocked,4,159
fi,567bdc76b7d79a0012b2738a,blocked,4,160
fi,567bdc76b7d79a0012b2738a,blocked,4,161
fi,567bdc76b7d79a0012b2738a,blocked,4,162
fi,567bdc76b7d79a0012b2738a,blocked,4,163
fi,567bdc76b7d79a0012b2738a,blocked,4,164
fi,567bdc76b7d79a0012b2738a,blocked,4,165
fi,567bdc76b7d79a0012b2738a,blocked,4,166
fi,567bdc76b7d79a0012b2738a,blocked,4,167
fi,567bdc76b7d79a0012b2738a,blocked,4,168
fi,567bdc76b7d79a0012b2738a,blocked,4,169
fi,567bdc76b7d79a0012b2738a,blocked,4,170
fi,567bdc76b7d79a0012b2738a,blocked,4,171
fi,567bdc76b7d79a0012b2738a,blocked,4,172
fi,567bdc76b7d79a0012b2738a,blocked,4,173
fi,567bdc76b7d79a0012b2738a,blocked,4,174
fi,567bdc76b7d79a0012b2738a,blocked,4,175
fi,567bdc76b7d79a0012b2738a,blocked,4,176
fi,567bdc76b7d79a0012b2738a,blocked,4,177
fi,567bdc76b7d79a0012b2738a,blocked,4,178
fi,567bdc76b7d79a0012b2738a,blocked,4,179
fi,567bdc76b7d79a0012b2738a,blocked,4,180
fi,572faa2cad131600100169b5,blocked,1,1
fi,572faa2cad131600100169b5,blocked,1,2
fi,572faa2cad131600100169b5,blocked,1,3
fi,572faa2cad131600100169b5,blocked,1,4
fi,572faa2cad131600100169b5,blocked,1,5
fi,572faa2cad131600100169b5,blocked,1,6
fi,572faa2cad131600100169b5,blocked,1,7
fi,572faa2cad131600100169b5,blocked,1,8
fi,572faa2cad131600100169b5,blocked,1,9
fi,572faa2cad131600100169b5,blocked,1,10
fi,572faa2cad131600100169b5,blocked,1,11
fi,572faa2cad131600100169b5,blocked,1,12
fi,572faa2cad131600100169b5,blocked,1,13
fi,572faa2cad131600100169b5,blocked,1,14
fi,572faa2cad131600100169b5,blocked,1,15
fi,572faa2cad131600100169b5,blocked,1,16
fi,572faa2cad131600100169b5,blocked,1,17
fi,572faa2cad131600100169b5,blocked,1,18
fi,572faa2cad131600100169b5,blocked,1,19
fi,572faa2cad131600100169b5,blocked,1,20
fi,572faa2cad131600100169b5,blocked,1,21
fi,572faa2cad131600100169b5,blocked,1,22
fi,572faa2cad131600100169b5,blocked,1,23
fi,572faa2cad131600100169b5,blocked,1,24
fi,572faa2cad131600100169b5,blocked,1,25
fi,572faa2cad131600100169b5,blocked,1,26
fi,572faa2cad131600100169b5,blocked,1,27
fi,572faa2cad131600100169b5,blocked,1,28
fi,572faa2cad131600100169b5,blocked,1,29
fi,572faa2cad131600100169b5,blocked,1,30
fi,572faa2cad131600100169b5,blocked,1,31
fi,572faa2cad131600100169b5,blocked,1,32
fi,572faa2cad131600100169b5,blocked,1,33
fi,572faa2cad131600100169b5,blocked,1,34
fi,572faa2cad131600100169b5,blocked,1,35
fi,572faa2cad131600100169b5,blocked,1,36
fi,572faa2cad131600100169b5,blocked,1,37
fi,572faa2cad131600100169b5,blocked,1,38
fi,572faa2cad131600100169b5,blocked,1,39
fi,572faa2cad131600100169b5,blocked,1,40
fi,572faa2cad131600100169b5,blocked,1,41
fi,572faa2cad131600100169b5,blocked,1,42
fi,572faa2cad131600100169b5,blocked,1,43
fi,572faa2cad131600100169b5,blocked,1,44
fi,572faa2cad131600100169b5,blocked,1,45
fi,572faa2cad131600100169b5,blocked,1,46
fi,572faa2cad131600100169b5,blocked,1,47
fi,572faa2cad131600100169b5,blocked,1,48
fi,572faa2cad131600100169b5,blocked,1,49
fi,572faa2cad131600100169b5,blocked,1,50
fi,572faa2cad131600100169b5,blocked,1,51
fi,572faa2cad131600100169b5,blocked,1,52
fi,572faa2cad131600100169b5,blocked,1,53
fi,572faa2cad131600100169b5,blocked,1,54
fi,572faa2cad131600100169b5,blocked,1,55
fi,572faa2cad131600100169b5,blocked,1,56
fi,572faa2cad131600100169b5,blocked,1,57
fi,572faa2cad131600100169b5,blocked,1,58
fi,572faa2cad131600100169b5,blocked,1,59
fi,572faa2cad131600100169b5,blocked,1,60
fi,572faa2cad131600100169b5,blocked,4,61
fi,572faa2cad131600100169b5,blocked,4,62
fi,572faa2cad131600100169b5,blocked,4,63
fi,572faa2cad131600100169b5,blocked,4,64
fi,572faa2cad131600100169b5,blocked,4,65
fi,572faa2cad131600100169b5,blocked,4,66
fi,572faa2cad131600100169b5,blocked,4,67
fi,572faa2cad131600100169b5,blocked,4,68
fi,572faa2cad131600100169b5,blocked,4,69
fi,572faa2cad131600100169b5,blocked,4,70
fi,572faa2cad131600100169b5,blocked,4,71
fi,572faa2cad131600100169b5,blocked,4,72
fi,572faa2cad131600100169b5,blocked,4,73
fi,572faa2cad131600100169b5,blocked,4,74
fi,572faa2cad131600100169b5,blocked,4,75
fi,572faa2cad131600100169b5,blocked,4,76
fi,572faa2cad131600100169b5,blocked,4,77
fi,572faa2cad131600100169b5,blocked,4,78
fi,572faa2cad131600100169b5,blocked,4,79
fi,572faa2cad131600100169b5,blocked,4,80
fi,572faa2cad131600100169b5,blocked,4,81
fi,572faa2cad131600100169b5,blocked,4,82
fi,572faa2cad131600100169b5,blocked,4,83
fi,572faa2cad131600100169b5,blocked,4,84
fi,572faa2cad131600100169b5,blocked,4,85
fi,572faa2cad131600100169b5,blocked,4,86
fi,572faa2cad131600100169b5,blocked,4,87
fi,572faa2cad131600100169b5,blocked,4,88
fi,572faa2cad131600100169b5,blocked,4,89
fi,572faa2cad131600100169b5,blocked,4,90
fi,572faa2cad131600100169b5,blocked,4,91
fi,572faa2cad131600100169b5,blocked,4,92
fi,572faa2cad131600100169b5,blocked,4,93
fi,572faa2cad131600100169b5,blocked,4,94
fi,572faa2cad131600100169b5,blocked,4,95
fi,572faa2cad131600100169b5,blocked,4,96
fi,572faa2cad131600100169b5,blocked,4,97
fi,572faa2cad131600100169b5,blocked,4,98
fi,572faa2cad131600100169b5,blocked,4,99
fi,572faa2cad131600100169b5,blocked,4,100
fi,572faa2cad131600100169b5,blocked,4,101
fi,572faa2cad131600100169b5,blocked,4,102
fi,572faa2cad131600100169b5,blocked,4,103
fi,572faa2cad131600100169b5,blocked,4,104
fi,572faa2cad131600100169b5,blocked,4,105
fi,572faa2cad131600100169b5,blocked,4,106
fi,572faa2cad131600100169b5,blocked,4,107
fi,572faa2cad131600100169b5,blocked,4,108
fi,572faa2cad131600100169b5,blocked,4,109
fi,572faa2cad131600100169b5,blocked,4,110
fi,572faa2cad131600100169b5,blocked,4,111
fi,572faa2cad131600100169b5,blocked,4,112
fi,572faa2cad131600100169b5,blocked,4,113
fi,572faa2cad131600100169b5,blocked,4,114
fi,572faa2cad131600100169b5,blocked,4,115
fi,572faa2cad131600100169b5,blocked,4,116
