Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
640749019648938db7e866e9,5d29c671bc573b00165c9014,APPROVED,2023-03-07T14:24:05.367000Z,2023-03-07T15:34:02.321000Z,2023-03-09T15:28:13.602000,2023-03-07T15:34:24.407652Z,4197,C15BMR3K,1268,English,DATA_EXPIRED,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6407496ebaa6d2ea16abe102,60cfb80f9613ba516472434c,APPROVED,2023-03-07T14:25:52.603000Z,2023-03-07T15:33:57.558000Z,2023-03-09T15:28:44.117000,2023-03-07T15:34:19.785934Z,4085,C15BMR3K,483,English,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
640749839b0dc8ad9299f3bf,63f78703fbd3a523a963d860,APPROVED,2023-03-07T14:26:16.185000Z,2023-03-07T15:30:04.553000Z,2023-03-09T15:28:14.292000,2023-03-07T15:30:05.269289Z,3829,C15BMR3K,5,English,31,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,DATA_EXPIRED
640749a15d397379507c1cc4,640612477c8f387ffe0b0dba,APPROVED,2023-03-07T14:28:25.124000Z,2023-03-07T15:14:34.969000Z,2023-03-09T15:28:14.868000,2023-03-07T15:14:35.357425Z,2770,C15BMR3K,4,"Croatian, English",23,Male,White,Croatia,United Kingdom,Croatia,English,Yes,Unemployed (and job seeking)
64074a20662945879a81ef67,606968fc4633f8b94786a4c8,APPROVED,2023-03-07T14:29:05.534000Z,2023-03-07T15:40:48.082000Z,2023-03-09T15:28:15.467000,2023-03-07T15:40:49.318152Z,4303,C15BMR3K,184,English,26,Male,Black,South Africa,South Africa,South Africa,English,Yes,Other
64074abfb19790905c3a5fbc,63d10034c4d10e158a7d2750,APPROVED,2023-03-07T14:35:41.473000Z,2023-03-07T15:30:08.744000Z,2023-03-09T15:28:16.040000,2023-03-07T15:30:09.131503Z,3268,C15BMR3K,47,English,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64074b977859eb84f1f6032d,6384cfc62b6bf7a232ade8cb,APPROVED,2023-03-07T14:35:03.787000Z,2023-03-07T14:51:27.658000Z,2023-03-09T15:28:16.599000,2023-03-07T14:51:30.560683Z,984,NOCODE,170,"English, Spanish, German, French",43,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Full-Time
64074cd83d12a69a26853272,63ea56aa854e5e0c4d49ff7e,APPROVED,2023-03-07T14:40:52.555000Z,2023-03-07T15:56:56.930000Z,2023-03-09T15:28:44.504000,2023-03-07T15:56:57.300400Z,4565,C15BMR3K,13,"Arabic, English",39,Female,Other,Australia,Australia,Australia,English,Yes,Unemployed (and job seeking)
64074f5fd3c422ec773b5431,5a840fcfb093f80001a7cf78,APPROVED,2023-03-07T14:51:11.569000Z,2023-03-07T15:34:49.168000Z,2023-03-09T15:28:17.206000,2023-03-07T15:35:21.032187Z,2618,C15BMR3K,2040,English,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6407500c0eae5057b199f3c9,5f00d65cb69f9e20f144e404,APPROVED,2023-03-07T14:54:34.396000Z,2023-03-07T15:33:28.378000Z,2023-03-09T15:28:17.848000,2023-03-07T15:33:38.795442Z,2334,C15BMR3K,1123,"English, Italian",26,Male,Asian,Italy,United Kingdom,Italy,English,No,Full-Time
6407512ed2e15b0839d82f6a,5f14cf863a3eb90d6977339c,APPROVED,2023-03-07T14:58:59.599000Z,2023-03-07T15:24:36.952000Z,2023-03-09T15:28:44.865000,2023-03-07T15:24:37.378043Z,1538,C15BMR3K,6,English,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
6407544e002b964c8ce9bfa3,5cb20f2d7c917b00172dfef5,APPROVED,2023-03-07T15:12:52.733000Z,2023-03-07T15:45:08.175000Z,2023-03-09T15:28:18.481000,2023-03-07T15:45:08.576939Z,1936,C15BMR3K,1595,"German, English",47,Male,White,Germany,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64075c4440143c1510eb6f24,63ee9abfa262bea95766dd9c,APPROVED,2023-03-07T15:51:22.375000Z,2023-03-07T16:27:02.388000Z,2023-03-09T15:28:45.266000,2023-03-07T16:27:04.735277Z,2141,C15BMR3K,37,"English, Hindi, Punjabi",71,Female,Asian,India,United Kingdom,United Kingdom,English,No,Part-Time
64075ebf8e4430caba8c220c,63e52bc62b2ecca285bffc9b,APPROVED,2023-03-07T15:57:18.706000Z,2023-03-07T16:30:39.267000Z,2023-03-09T15:28:19.472000,2023-03-07T16:30:47.205423Z,2001,C15BMR3K,46,English,21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
640763105f9bbd3748bb41b4,5f356cbffb4cea5170d04fd9,APPROVED,2023-03-07T16:16:05.434000Z,2023-03-07T16:56:06.761000Z,2023-03-09T15:28:19.977000,2023-03-07T16:56:07.136271Z,2402,C15BMR3K,1024,English,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64076311115a24d260c00f38,63207c8968ec10d3b9d54151,APPROVED,2023-03-07T16:17:27.536000Z,2023-03-07T16:50:05.084000Z,2023-03-09T15:28:20.471000,2023-03-07T16:50:05.498564Z,1958,C15BMR3K,390,"Chinese, English",33,Male,Asian,China,United Kingdom,United Kingdom,English,No,Full-Time
64076313011f96c6c3e6b0c7,5fcd709227fabfc6ca7a969e,APPROVED,2023-03-07T16:15:58.351000Z,2023-03-07T16:46:07.193000Z,2023-03-09T15:28:45.633000,2023-03-07T16:46:08.142742Z,1809,C15BMR3K,460,English,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6407631465eca9a828cfba66,5b0710e7a84dcf0001beee8a,APPROVED,2023-03-07T16:22:08.404000Z,2023-03-07T17:09:08.564000Z,2023-03-09T15:28:46.034000,2023-03-07T17:09:09.326519Z,2821,C15BMR3K,1336,English,56,Female,Mixed,Singapore,United Kingdom,United Kingdom,English,No,Part-Time
64076314685bf10e5b807dcb,5f639c21192b540a86e6e559,APPROVED,2023-03-07T16:15:23.075000Z,2023-03-07T16:56:44.209000Z,2023-03-09T15:28:46.415000,2023-03-07T16:56:44.925041Z,2482,C15BMR3K,813,English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
